"filename", "language", "C#", "XML", "JavaScript", "HTML", "CSS", "Python", "JSON", "comment", "blank", "total"
"e:\Materials\【LOOP】\Assignment\miniSys0.3\AddDescription.Designer.cs", "C#", 137, 0, 0, 0, 0, 0, 0, 29, 5, 171
"e:\Materials\【LOOP】\Assignment\miniSys0.3\AddDescription.cs", "C#", 134, 0, 0, 0, 0, 0, 0, 0, 31, 165
"e:\Materials\【LOOP】\Assignment\miniSys0.3\CommonlyControls.Designer.cs", "C#", 418, 0, 0, 0, 0, 0, 0, 107, 6, 531
"e:\Materials\【LOOP】\Assignment\miniSys0.3\CommonlyControls.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\Materials\【LOOP】\Assignment\miniSys0.3\ControlEvent.cs", "C#", 154, 0, 0, 0, 0, 0, 0, 0, 17, 171
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Login\UC_Login.Designer.cs", "C#", 209, 0, 0, 0, 0, 0, 0, 47, 7, 263
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Login\UC_Login.cs", "C#", 278, 0, 0, 0, 0, 0, 0, 7, 37, 322
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Login\UC_forgotPws.Designer.cs", "C#", 236, 0, 0, 0, 0, 0, 0, 50, 6, 292
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\Login\UC_forgotPws.cs", "C#", 286, 0, 0, 0, 0, 0, 0, 0, 25, 311
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Cus_OrderDetails.Designer.cs", "C#", 631, 0, 0, 0, 0, 0, 0, 152, 6, 789
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Cus_OrderDetails.cs", "C#", 348, 0, 0, 0, 0, 0, 0, 4, 64, 416
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Cus_dashboard.Designer.cs", "C#", 721, 0, 0, 0, 0, 0, 0, 164, 7, 892
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Cus_dashboard.cs", "C#", 530, 0, 0, 0, 0, 0, 0, 3, 83, 616
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_IncomeAnalysis.Designer.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 23, 7, 95
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_IncomeAnalysis.cs", "C#", 292, 0, 0, 0, 0, 0, 0, 16, 63, 371
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Payment.Designer.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 26, 7, 106
"e:\Materials\【LOOP】\Assignment\miniSys0.3\Controls\MainArea\UC_Payment.cs", "C#", 52, 0, 0, 0, 0, 0, 0, 2, 10, 64
